Datetime;Resolution code;Offshore/onshore;Region;Grid connection type;Measured & Upscaled;Most recent forecast;Most recent P10;Most recent P90;Day Ahead 11AM forecast;Day Ahead 11AM P10;Day Ahead 11AM P90;Day-ahead 6PM forecast;Day-ahead 6PM P10;Day-ahead 6PM P90;Week-ahead forecast;Week-ahead P10;Week-ahead P90;Monitored capacity;Load factor;Decremental bid Indicator
2025-12-31T19:30:00+01:00;PT15M;Onshore;Wallonia;Elia;43.83;32.1;16.6;49.8;27.8;14.0;45.5;32.2;19.2;55.4;9.8;2.8;60.6;188.2;0.23;''
2025-12-31T19:15:00+01:00;PT15M;Onshore;Wallonia;Elia;43.69;30.8;16.0;48.3;27.1;13.6;44.3;31.4;19.0;53.8;9.8;2.8;59.6;188.2;0.23;''
2025-12-31T19:00:00+01:00;PT15M;Onshore;Wallonia;Elia;42.2;29.7;15.2;46.8;26.4;13.2;43.1;30.7;18.6;52.7;9.8;2.9;58.5;188.2;0.22;''
2025-12-31T18:45:00+01:00;PT15M;Onshore;Wallonia;Elia;41.59;28.3;15.0;44.3;25.5;12.8;41.6;30.0;18.3;51.5;9.5;2.9;57.4;188.2;0.22;''
2025-12-31T18:30:00+01:00;PT15M;Onshore;Wallonia;Elia;45.87;27.3;14.1;43.1;24.7;12.3;40.5;29.1;17.6;50.2;9.3;2.9;56.1;188.2;0.24;''
2025-12-31T18:15:00+01:00;PT15M;Onshore;Wallonia;Elia;40.65;26.2;13.5;41.8;24.0;11.6;39.7;28.3;16.9;49.1;9.3;2.9;54.6;188.2;0.22;''
2025-12-31T18:00:00+01:00;PT15M;Onshore;Wallonia;Elia;37.88;25.1;12.6;40.7;23.1;10.7;39.1;27.5;15.7;48.1;9.3;3.2;53.1;188.2;0.2;''
2025-12-31T17:45:00+01:00;PT15M;Onshore;Wallonia;Elia;34.16;24.1;11.6;38.7;22.3;9.7;38.3;26.4;14.6;46.9;8.9;3.5;51.3;188.2;0.18;''
2025-12-31T17:30:00+01:00;PT15M;Onshore;Wallonia;Elia;28.73;23.1;11.0;37.7;21.4;9.2;37.7;25.4;13.5;45.7;8.9;3.8;50.4;188.2;0.15;''
2025-12-31T17:15:00+01:00;PT15M;Onshore;Wallonia;Elia;26.42;22.0;10.1;36.8;20.6;8.6;37.1;24.3;12.1;43.8;8.7;3.7;50.3;188.2;0.14;''
2025-12-31T17:00:00+01:00;PT15M;Onshore;Wallonia;Elia;27.65;21.4;9.2;36.2;19.9;8.1;36.3;23.3;11.0;42.0;8.5;3.5;50.7;188.2;0.15;''
2025-12-31T16:45:00+01:00;PT15M;Onshore;Wallonia;Elia;26.85;20.4;8.2;34.7;18.7;7.4;35.0;21.6;9.6;39.7;8.5;3.3;51.0;188.2;0.14;''
2025-12-31T16:30:00+01:00;PT15M;Onshore;Wallonia;Elia;24.67;19.8;7.6;34.2;17.8;6.7;34.2;20.6;8.6;38.1;8.3;3.1;51.0;188.2;0.13;''
2025-12-31T16:15:00+01:00;PT15M;Onshore;Wallonia;Elia;20.33;19.1;7.2;33.7;17.0;6.2;33.2;19.4;7.6;36.7;8.2;2.8;50.4;188.2;0.11;''
2025-12-31T16:00:00+01:00;PT15M;Onshore;Wallonia;Elia;16.49;18.4;6.9;33.3;16.0;5.4;32.3;18.3;6.8;35.6;8.1;2.5;49.3;188.2;0.09;''
2025-12-31T15:45:00+01:00;PT15M;Onshore;Wallonia;Elia;14.47;18.1;6.8;32.5;15.1;4.7;31.3;17.0;5.7;34.4;8.0;2.3;48.1;188.2;0.08;''
2025-12-31T15:30:00+01:00;PT15M;Onshore;Wallonia;Elia;13.77;17.7;6.6;32.2;14.2;4.2;30.2;16.0;4.9;33.3;8.0;2.0;47.5;188.2;0.07;''
2025-12-31T15:15:00+01:00;PT15M;Onshore;Wallonia;Elia;14.84;17.3;6.4;31.9;13.3;3.9;28.9;15.0;4.7;32.0;7.8;1.6;47.3;188.2;0.08;''
2025-12-31T15:00:00+01:00;PT15M;Onshore;Wallonia;Elia;14.34;16.9;6.1;31.8;12.4;3.9;27.3;14.1;4.7;30.4;7.7;1.6;47.6;188.2;0.08;''
